ID, SourceCurrency, DestinationCurrency, SourceAmount
184, EUR, AUD,193241.5
185, USD, EUR,194292
186, EUR, AUD,195342.5
187, USD, EUR,196393
188, EUR, AUD,197443.5
189, USD, EUR,198494
190, EUR, AUD,199544.5
191, USD, EUR,200595
192, EUR, AUD,201645.5
193, USD, EUR,202696
194, EUR, AUD,203746.5
195, USD, EUR,204797
196, EUR, AUD,205847.5
197, USD, EUR,206898
198, EUR, AUD,207948.5
199, USD, EUR,208999
200, EUR, AUD,210049.5
201, USD, EUR,211100
202, EUR, AUD,212150.5
203, USD, EUR,213201
204, EUR, AUD,214251.5
205, USD, EUR,215302
206, EUR, AUD,216352.5
207, USD, EUR,217403
208, EUR, AUD,218453.5
209, USD, EUR,219504
210, EUR, AUD,220554.5
211, USD, EUR,221605
212, EUR, AUD,222655.5
213, USD, EUR,223706
214, EUR, AUD,224756.5
215, USD, EUR,225807
216, EUR, AUD,226857.5
217, USD, EUR,227908
218, EUR, AUD,228958.5
219, USD, EUR,230009
220, EUR, AUD,231059.5
221, USD, EUR,232110
222, EUR, AUD,233160.5
223, USD, EUR,234211
224, EUR, AUD,235261.5
225, USD, EUR,236312
226, EUR, AUD,237362.5
227, USD, EUR,238413
228, EUR, AUD,239463.5
229, USD, EUR,240514
230, EUR, AUD,241564.5
231, USD, EUR,242615
232, EUR, AUD,243665.5
233, USD, EUR,244716
234, EUR, AUD,245766.5
235, USD, EUR,246817
236, EUR, AUD,247867.5
237, USD, EUR,248918
238, EUR, AUD,249968.5
239, USD, EUR,251019
240, EUR, AUD,252069.5
241, USD, EUR,253120
242, EUR, AUD,254170.5
243, USD, EUR,255221
244, EUR, AUD,256271.5
245, USD, EUR,257322
246, EUR, AUD,258372.5
247, USD, EUR,259423
248, EUR, AUD,260473.5
249, USD, EUR,261524
250, EUR, AUD,262574.5
251, USD, EUR,263625
252, EUR, AUD,264675.5
253, USD, EUR,265726
254, EUR, AUD,266776.5
255, USD, EUR,267827
256, EUR, AUD,268877.5
257, USD, EUR,269928
258, EUR, AUD,270978.5
259, USD, EUR,272029
260, EUR, AUD,273079.5
261, USD, EUR,274130
262, EUR, AUD,275180.5
263, USD, EUR,276231
264, EUR, AUD,277281.5
265, USD, EUR,278332
266, EUR, AUD,279382.5
267, USD, EUR,280433
268, EUR, AUD,281483.5
269, USD, EUR,282534
270, EUR, AUD,283584.5
271, USD, EUR,284635
272, EUR, AUD,285685.5
273, USD, EUR,286736
274, EUR, AUD,287786.5
275, USD, EUR,288837
276, EUR, AUD,289887.5
277, USD, EUR,290938
278, EUR, AUD,291988.5
279, USD, EUR,293039
280, EUR, AUD,294089.5
281, USD, EUR,295140
282, EUR, AUD,296190.5
283, USD, EUR,297241
284, EUR, AUD,298291.5
285, USD, EUR,299342
286, EUR, AUD,300392.5
287, USD, EUR,301443
288, EUR, AUD,302493.5
289, USD, EUR,303544
290, EUR, AUD,304594.5
291, USD, EUR,305645
292, EUR, AUD,306695.5
293, USD, EUR,307746
294, EUR, AUD,308796.5
295, USD, EUR,309847
296, EUR, AUD,310897.5
297, USD, EUR,311948
298, EUR, AUD,312998.5
299, USD, EUR,314049
300, EUR, AUD,315099.5
301, USD, EUR,316150
302, EUR, AUD,317200.5
303, USD, EUR,318251
304, EUR, AUD,319301.5
305, USD, EUR,320352
306, EUR, AUD,321402.5
307, USD, EUR,322453
308, EUR, AUD,323503.5
309, USD, EUR,324554
310, EUR, AUD,325604.5
311, USD, EUR,326655
312, EUR, AUD,327705.5
313, USD, EUR,328756
314, EUR, AUD,329806.5
315, USD, EUR,330857
316, EUR, AUD,331907.5
317, USD, EUR,332958
318, EUR, AUD,334008.5
319, USD, EUR,335059
320, EUR, AUD,336109.5
321, USD, EUR,337160
322, EUR, AUD,338210.5
323, USD, EUR,339261
324, EUR, AUD,340311.5
325, USD, EUR,341362
326, EUR, AUD,342412.5
327, USD, EUR,343463
328, EUR, AUD,344513.5
329, USD, EUR,345564
330, EUR, AUD,346614.5
331, USD, EUR,347665
332, EUR, AUD,348715.5
333, USD, EUR,349766
334, EUR, AUD,350816.5
335, USD, EUR,351867
336, EUR, AUD,352917.5
337, USD, EUR,353968
338, EUR, AUD,355018.5
339, USD, EUR,356069
340, EUR, AUD,357119.5
341, USD, EUR,358170
342, EUR, AUD,359220.5
343, USD, EUR,360271
344, EUR, AUD,361321.5
345, USD, EUR,362372
346, EUR, AUD,363422.5
347, USD, EUR,364473
348, EUR, AUD,365523.5
349, USD, EUR,366574
350, EUR, AUD,367624.5
351, USD, EUR,368675
352, EUR, AUD,369725.5
353, USD, EUR,370776
354, EUR, AUD,371826.5
355, USD, EUR,372877
356, EUR, AUD,373927.5
357, USD, EUR,374978
358, EUR, AUD,376028.5
359, USD, EUR,377079
360, EUR, AUD,378129.5
361, USD, EUR,379180
362, EUR, AUD,380230.5
363, USD, EUR,381281
364, EUR, AUD,382331.5
365, USD, EUR,383382
366, EUR, AUD,384432.5
367, USD, EUR,385483
368, EUR, AUD,386533.5
369, USD, EUR,387584
370, EUR, AUD,388634.5
371, USD, EUR,389685
372, EUR, AUD,390735.5
373, USD, EUR,391786
374, EUR, AUD,392836.5
375, USD, EUR,393887
376, EUR, AUD,394937.5
377, USD, EUR,395988
378, EUR, AUD,397038.5
379, USD, EUR,398089
380, EUR, AUD,399139.5
381, USD, EUR,400190
382, EUR, AUD,401240.5
383, USD, EUR,402291
384, EUR, AUD,403341.5
385, USD, EUR,404392
386, EUR, AUD,405442.5
387, USD, EUR,406493
388, EUR, AUD,407543.5
389, USD, EUR,408594
390, EUR, AUD,409644.5
391, USD, EUR,410695
392, EUR, AUD,411745.5
393, USD, EUR,412796
394, EUR, AUD,413846.5
395, USD, EUR,414897
396, EUR, AUD,415947.5
397, USD, EUR,416998
398, EUR, AUD,418048.5
399, USD, EUR,419099
400, EUR, AUD,420149.5
401, USD, EUR,421200
402, EUR, AUD,422250.5
403, USD, EUR,423301
404, EUR, AUD,424351.5
405, USD, EUR,425402
406, EUR, AUD,426452.5
407, USD, EUR,427503
408, EUR, AUD,428553.5
409, USD, EUR,429604
410, EUR, AUD,430654.5
411, USD, EUR,431705
412, EUR, AUD,432755.5
413, USD, EUR,433806
414, EUR, AUD,434856.5
415, USD, EUR,435907
416, EUR, AUD,436957.5
417, USD, EUR,438008
418, EUR, AUD,439058.5
419, USD, EUR,440109
420, EUR, AUD,441159.5
421, USD, EUR,442210
422, EUR, AUD,443260.5
423, USD, EUR,444311
424, EUR, AUD,445361.5
425, USD, EUR,446412
426, EUR, AUD,447462.5
427, USD, EUR,448513
428, EUR, AUD,449563.5
429, USD, EUR,450614
430, EUR, AUD,451664.5
431, USD, EUR,452715
432, EUR, AUD,453765.5
433, USD, EUR,454816
434, EUR, AUD,455866.5
435, USD, EUR,456917
436, EUR, AUD,457967.5
437, USD, EUR,459018
438, EUR, AUD,460068.5
439, USD, EUR,461119
440, EUR, AUD,462169.5
441, USD, EUR,463220
442, EUR, AUD,464270.5
443, USD, EUR,465321
444, EUR, AUD,466371.5
445, USD, EUR,467422
446, EUR, AUD,468472.5
447, USD, EUR,469523
448, EUR, AUD,470573.5
449, USD, EUR,471624
450, EUR, AUD,472674.5
451, USD, EUR,473725
452, EUR, AUD,474775.5
453, USD, EUR,475826
454, EUR, AUD,476876.5
455, USD, EUR,477927
456, EUR, AUD,478977.5
457, USD, EUR,480028
458, EUR, AUD,481078.5
459, USD, EUR,482129
460, EUR, AUD,483179.5
461, USD, EUR,484230
462, EUR, AUD,485280.5
463, USD, EUR,486331
464, EUR, AUD,487381.5
465, USD, EUR,488432
466, EUR, AUD,489482.5
467, USD, EUR,490533
468, EUR, AUD,491583.5
469, USD, EUR,492634
470, EUR, AUD,493684.5
471, USD, EUR,494735
472, EUR, AUD,495785.5
473, USD, EUR,496836
474, EUR, AUD,497886.5
475, USD, EUR,498937
476, EUR, AUD,499987.5
477, USD, EUR,501038
478, EUR, AUD,502088.5
479, USD, EUR,503139
480, EUR, AUD,504189.5
481, USD, EUR,505240
482, EUR, AUD,506290.5
483, USD, EUR,507341
484, EUR, AUD,508391.5
485, USD, EUR,509442
486, EUR, AUD,510492.5
487, USD, EUR,511543
488, EUR, AUD,512593.5
489, USD, EUR,513644
490, EUR, AUD,514694.5
491, USD, EUR,515745
492, EUR, AUD,516795.5
493, USD, EUR,517846
494, EUR, AUD,518896.5
495, USD, EUR,519947
496, EUR, AUD,520997.5
497, USD, EUR,522048
498, EUR, AUD,523098.5
499, USD, EUR,524149
500, EUR, AUD,525199.5
501, USD, EUR,526250
502, EUR, AUD,527300.5
503, USD, EUR,528351
504, EUR, AUD,529401.5
505, USD, EUR,530452
506, EUR, AUD,531502.5
507, USD, EUR,532553
508, EUR, AUD,533603.5
509, USD, EUR,534654
510, EUR, AUD,535704.5
511, USD, EUR,536755
512, EUR, AUD,537805.5
513, USD, EUR,538856
514, EUR, AUD,539906.5
515, USD, EUR,540957
516, EUR, AUD,542007.5
517, USD, EUR,543058
518, EUR, AUD,544108.5
519, USD, EUR,545159
520, EUR, AUD,546209.5
521, USD, EUR,547260
522, EUR, AUD,548310.5
523, USD, EUR,549361
524, EUR, AUD,550411.5
525, USD, EUR,551462
526, EUR, AUD,552512.5
527, USD, EUR,553563
528, EUR, AUD,554613.5
529, USD, EUR,555664
530, EUR, AUD,556714.5
531, USD, EUR,557765
532, EUR, AUD,558815.5
533, USD, EUR,559866
534, EUR, AUD,560916.5
535, USD, EUR,561967
536, EUR, AUD,563017.5
537, USD, EUR,564068
538, EUR, AUD,565118.5
539, USD, EUR,566169
540, EUR, AUD,567219.5
541, USD, EUR,568270
542, EUR, AUD,569320.5
543, USD, EUR,570371
544, EUR, AUD,571421.5
545, USD, EUR,572472
546, EUR, AUD,573522.5
547, USD, EUR,574573
548, EUR, AUD,575623.5
549, USD, EUR,576674
550, EUR, AUD,577724.5
551, USD, EUR,578775
552, EUR, AUD,579825.5
553, USD, EUR,580876
554, EUR, AUD,581926.5
555, USD, EUR,582977
556, EUR, AUD,584027.5
557, USD, EUR,585078
558, EUR, AUD,586128.5
559, USD, EUR,587179
560, EUR, AUD,588229.5
561, USD, EUR,589280
562, EUR, AUD,590330.5
563, USD, EUR,591381
564, EUR, AUD,592431.5
565, USD, EUR,593482
566, EUR, AUD,594532.5
567, USD, EUR,595583
568, EUR, AUD,596633.5
569, USD, EUR,597684
570, EUR, AUD,598734.5
571, USD, EUR,599785
572, EUR, AUD,600835.5
573, USD, EUR,601886
574, EUR, AUD,602936.5
575, USD, EUR,603987
576, EUR, AUD,605037.5
577, USD, EUR,606088
578, EUR, AUD,607138.5
579, USD, EUR,608189
580, EUR, AUD,609239.5
581, USD, EUR,610290
582, EUR, AUD,611340.5
583, USD, EUR,612391
584, EUR, AUD,613441.5
585, USD, EUR,614492
586, EUR, AUD,615542.5
587, USD, EUR,616593
588, EUR, AUD,617643.5
589, USD, EUR,618694
590, EUR, AUD,619744.5
591, USD, EUR,620795
592, EUR, AUD,621845.5
593, USD, EUR,622896
594, EUR, AUD,623946.5
595, USD, EUR,624997
596, EUR, AUD,626047.5
597, USD, EUR,627098
598, EUR, AUD,628148.5
599, USD, EUR,629199
600, EUR, AUD,630249.5
601, USD, EUR,631300
602, EUR, AUD,632350.5
603, USD, EUR,633401
604, EUR, AUD,634451.5
605, USD, EUR,635502
606, EUR, AUD,636552.5
607, USD, EUR,637603
608, EUR, AUD,638653.5
609, USD, EUR,639704
610, EUR, AUD,640754.5
611, USD, EUR,641805
612, EUR, AUD,642855.5
613, USD, EUR,643906
614, EUR, AUD,644956.5
615, USD, EUR,646007
616, EUR, AUD,647057.5
617, USD, EUR,648108
618, EUR, AUD,649158.5
619, USD, EUR,650209
620, EUR, AUD,651259.5
621, USD, EUR,652310
622, EUR, AUD,653360.5
623, USD, EUR,654411
624, EUR, AUD,655461.5
625, USD, EUR,656512
626, EUR, AUD,657562.5
627, USD, EUR,658613
628, EUR, AUD,659663.5
629, USD, EUR,660714
630, EUR, AUD,661764.5
631, USD, EUR,662815
632, EUR, AUD,663865.5
633, USD, EUR,664916
634, EUR, AUD,665966.5
635, USD, EUR,667017
636, EUR, AUD,668067.5
637, USD, EUR,669118
638, EUR, AUD,670168.5
639, USD, EUR,671219
640, EUR, AUD,672269.5
641, USD, EUR,673320
642, EUR, AUD,674370.5
643, USD, EUR,675421
644, EUR, AUD,676471.5
645, USD, EUR,677522
646, EUR, AUD,678572.5
647, USD, EUR,679623
648, EUR, AUD,680673.5
649, USD, EUR,681724
650, EUR, AUD,682774.5
651, USD, EUR,683825
652, EUR, AUD,684875.5
653, USD, EUR,685926
654, EUR, AUD,686976.5
655, USD, EUR,688027
656, EUR, AUD,689077.5
657, USD, EUR,690128
658, EUR, AUD,691178.5
659, USD, EUR,692229
660, EUR, AUD,693279.5
661, USD, EUR,694330
662, EUR, AUD,695380.5
663, USD, EUR,696431
664, EUR, AUD,697481.5
665, USD, EUR,698532
666, EUR, AUD,699582.5
667, USD, EUR,700633
668, EUR, AUD,701683.5
669, USD, EUR,702734
670, EUR, AUD,703784.5
671, USD, EUR,704835
672, EUR, AUD,705885.5
673, USD, EUR,706936
674, EUR, AUD,707986.5
675, USD, EUR,709037
676, EUR, AUD,710087.5
677, USD, EUR,711138
678, EUR, AUD,712188.5
679, USD, EUR,713239
680, EUR, AUD,714289.5
681, USD, EUR,715340
682, EUR, AUD,716390.5
683, USD, EUR,717441
684, EUR, AUD,718491.5
685, USD, EUR,719542
686, EUR, AUD,720592.5
687, USD, EUR,721643
688, EUR, AUD,722693.5
689, USD, EUR,723744
690, EUR, AUD,724794.5
691, USD, EUR,725845
692, EUR, AUD,726895.5
693, USD, EUR,727946
694, EUR, AUD,728996.5
695, USD, EUR,730047
696, EUR, AUD,731097.5
697, USD, EUR,732148
698, EUR, AUD,733198.5
699, USD, EUR,734249
700, EUR, AUD,735299.5
701, USD, EUR,736350
702, EUR, AUD,737400.5
703, USD, EUR,738451
704, EUR, AUD,739501.5
705, USD, EUR,740552
706, EUR, AUD,741602.5
707, USD, EUR,742653
708, EUR, AUD,743703.5
709, USD, EUR,744754
710, EUR, AUD,745804.5
711, USD, EUR,746855
712, EUR, AUD,747905.5
713, USD, EUR,748956
714, EUR, AUD,750006.5
715, USD, EUR,751057
716, EUR, AUD,752107.5
717, USD, EUR,753158
718, EUR, AUD,754208.5
719, USD, EUR,755259
720, EUR, AUD,756309.5
721, USD, EUR,757360
722, EUR, AUD,758410.5
723, USD, EUR,759461
724, EUR, AUD,760511.5
725, USD, EUR,761562
726, EUR, AUD,762612.5
727, USD, EUR,763663
728, EUR, AUD,764713.5
729, USD, EUR,765764
730, EUR, AUD,766814.5
731, USD, EUR,767865
732, EUR, AUD,768915.5
733, USD, EUR,769966
734, EUR, AUD,771016.5
735, USD, EUR,772067
736, EUR, AUD,773117.5
737, USD, EUR,774168
738, EUR, AUD,775218.5
739, USD, EUR,776269
740, EUR, AUD,777319.5
741, USD, EUR,778370
742, EUR, AUD,779420.5
743, USD, EUR,780471
744, EUR, AUD,781521.5
745, USD, EUR,782572
746, EUR, AUD,783622.5
747, USD, EUR,784673
748, EUR, AUD,785723.5
749, USD, EUR,786774
750, EUR, AUD,787824.5
751, USD, EUR,788875
752, EUR, AUD,789925.5
753, USD, EUR,790976
754, EUR, AUD,792026.5
755, USD, EUR,793077
756, EUR, AUD,794127.5
757, USD, EUR,795178
758, EUR, AUD,796228.5
759, USD, EUR,797279
760, EUR, AUD,798329.5
761, USD, EUR,799380
762, EUR, AUD,800430.5
763, USD, EUR,801481
764, EUR, AUD,802531.5
765, USD, EUR,803582
766, EUR, AUD,804632.5
767, USD, EUR,805683
768, EUR, AUD,806733.5
769, USD, EUR,807784
770, EUR, AUD,808834.5
771, USD, EUR,809885
772, EUR, AUD,810935.5
773, USD, EUR,811986
774, EUR, AUD,813036.5
775, USD, EUR,814087
776, EUR, AUD,815137.5
777, USD, EUR,816188
778, EUR, AUD,817238.5
779, USD, EUR,818289
780, EUR, AUD,819339.5
781, USD, EUR,820390
782, EUR, AUD,821440.5
783, USD, EUR,822491
784, EUR, AUD,823541.5
785, USD, EUR,824592
786, EUR, AUD,825642.5
787, USD, EUR,826693
788, EUR, AUD,827743.5
789, USD, EUR,828794
790, EUR, AUD,829844.5
791, USD, EUR,830895
792, EUR, AUD,831945.5
793, USD, EUR,832996
794, EUR, AUD,834046.5
795, USD, EUR,835097
796, EUR, AUD,836147.5
797, USD, EUR,837198
798, EUR, AUD,838248.5
799, USD, EUR,839299
800, EUR, AUD,840349.5
801, USD, EUR,841400
802, EUR, AUD,842450.5
803, USD, EUR,843501
804, EUR, AUD,844551.5
805, USD, EUR,845602
806, EUR, AUD,846652.5
807, USD, EUR,847703
808, EUR, AUD,848753.5
809, USD, EUR,849804
810, EUR, AUD,850854.5
811, USD, EUR,851905
812, EUR, AUD,852955.5
813, USD, EUR,854006
814, EUR, AUD,855056.5
815, USD, EUR,856107
816, EUR, AUD,857157.5
817, USD, EUR,858208
818, EUR, AUD,859258.5
819, USD, EUR,860309
820, EUR, AUD,861359.5
821, USD, EUR,862410
822, EUR, AUD,863460.5
823, USD, EUR,864511
824, EUR, AUD,865561.5
825, USD, EUR,866612
826, EUR, AUD,867662.5
827, USD, EUR,868713
828, EUR, AUD,869763.5
829, USD, EUR,870814
830, EUR, AUD,871864.5
831, USD, EUR,872915
832, EUR, AUD,873965.5
833, USD, EUR,875016
834, EUR, AUD,876066.5
835, USD, EUR,877117
836, EUR, AUD,878167.5
837, USD, EUR,879218
838, EUR, AUD,880268.5
839, USD, EUR,881319
840, EUR, AUD,882369.5
841, USD, EUR,883420
842, EUR, AUD,884470.5
843, USD, EUR,885521
844, EUR, AUD,886571.5
845, USD, EUR,887622
846, EUR, AUD,888672.5
847, USD, EUR,889723
848, EUR, AUD,890773.5
849, USD, EUR,891824
850, EUR, AUD,892874.5
851, USD, EUR,893925
852, EUR, AUD,894975.5
853, USD, EUR,896026
854, EUR, AUD,897076.5
855, USD, EUR,898127
856, EUR, AUD,899177.5
857, USD, EUR,900228
858, EUR, AUD,901278.5
859, USD, EUR,902329
860, EUR, AUD,903379.5
861, USD, EUR,904430
862, EUR, AUD,905480.5
863, USD, EUR,906531
864, EUR, AUD,907581.5
865, USD, EUR,908632
866, EUR, AUD,909682.5
867, USD, EUR,910733
868, EUR, AUD,911783.5
869, USD, EUR,912834
870, EUR, AUD,913884.5
871, USD, EUR,914935
872, EUR, AUD,915985.5
873, USD, EUR,917036
874, EUR, AUD,918086.5
875, USD, EUR,919137
876, EUR, AUD,920187.5
877, USD, EUR,921238
878, EUR, AUD,922288.5
879, USD, EUR,923339
880, EUR, AUD,924389.5
881, USD, EUR,925440
882, EUR, AUD,926490.5
883, USD, EUR,927541
884, EUR, AUD,928591.5
885, USD, EUR,929642
886, EUR, AUD,930692.5
887, USD, EUR,931743
888, EUR, AUD,932793.5
889, USD, EUR,933844
890, EUR, AUD,934894.5
891, USD, EUR,935945
892, EUR, AUD,936995.5
893, USD, EUR,938046
894, EUR, AUD,939096.5
895, USD, EUR,940147
896, EUR, AUD,941197.5
897, USD, EUR,942248
898, EUR, AUD,943298.5
899, USD, EUR,944349
900, EUR, AUD,945399.5
901, USD, EUR,946450
902, EUR, AUD,947500.5
903, USD, EUR,948551
904, EUR, AUD,949601.5
905, USD, EUR,950652
906, EUR, AUD,951702.5
907, USD, EUR,952753
908, EUR, AUD,953803.5
909, USD, EUR,954854
910, EUR, AUD,955904.5
911, USD, EUR,956955
912, EUR, AUD,958005.5
913, USD, EUR,959056
914, EUR, AUD,960106.5
915, USD, EUR,961157
916, EUR, AUD,962207.5
917, USD, EUR,963258
918, EUR, AUD,964308.5
919, USD, EUR,965359
920, EUR, AUD,966409.5
921, USD, EUR,967460
922, EUR, AUD,968510.5
923, USD, EUR,969561
924, EUR, AUD,970611.5
925, USD, EUR,971662
926, EUR, AUD,972712.5
927, USD, EUR,973763
928, EUR, AUD,974813.5
929, USD, EUR,975864
930, EUR, AUD,976914.5
931, USD, EUR,977965
932, EUR, AUD,979015.5
933, USD, EUR,980066
934, EUR, AUD,981116.5
935, USD, EUR,982167
936, EUR, AUD,983217.5
937, USD, EUR,984268
938, EUR, AUD,985318.5
939, USD, EUR,986369
940, EUR, AUD,987419.5
941, USD, EUR,988470
942, EUR, AUD,989520.5
943, USD, EUR,990571
944, EUR, AUD,991621.5
945, USD, EUR,992672
946, EUR, AUD,993722.5
947, USD, EUR,994773
948, EUR, AUD,995823.5
949, USD, EUR,996874
950, EUR, AUD,997924.5
951, USD, EUR,998975
952, EUR, AUD,1000025.5
953, USD, EUR,1001076
954, EUR, AUD,1002126.5
955, USD, EUR,1003177
956, EUR, AUD,1004227.5
957, USD, EUR,1005278
958, EUR, AUD,1006328.5
959, USD, EUR,1007379
960, EUR, AUD,1008429.5
961, USD, EUR,1009480
962, EUR, AUD,1010530.5
963, USD, EUR,1011581
964, EUR, AUD,1012631.5
965, USD, EUR,1013682
966, EUR, AUD,1014732.5
967, USD, EUR,1015783
968, EUR, AUD,1016833.5
969, USD, EUR,1017884
970, EUR, AUD,1018934.5
971, USD, EUR,1019985
972, EUR, AUD,1021035.5
973, USD, EUR,1022086
974, EUR, AUD,1023136.5
975, USD, EUR,1024187
976, EUR, AUD,1025237.5
977, USD, EUR,1026288
978, EUR, AUD,1027338.5
979, USD, EUR,1028389
980, EUR, AUD,1029439.5
981, USD, EUR,1030490
982, EUR, AUD,1031540.5
983, USD, EUR,1032591
984, EUR, AUD,1033641.5
985, USD, EUR,1034692
986, EUR, AUD,1035742.5
987, USD, EUR,1036793
988, EUR, AUD,1037843.5
989, USD, EUR,1038894
990, EUR, AUD,1039944.5
991, USD, EUR,1040995
992, EUR, AUD,1042045.5
993, USD, EUR,1043096
994, EUR, AUD,1044146.5
995, USD, EUR,1045197
996, EUR, AUD,1046247.5
997, USD, EUR,1047298
998, EUR, AUD,1048348.5
999, USD, EUR,1049399
1000, EUR, AUD,1050449.5
1001, USD, EUR,1051500
1002, EUR, AUD,1052550.5
1003, USD, EUR,1053601
1004, EUR, AUD,1054651.5
1005, USD, EUR,1055702
1006, EUR, AUD,1056752.5
1007, USD, EUR,1057803
1008, EUR, AUD,1058853.5
1009, USD, EUR,1059904
1010, EUR, AUD,1060954.5
1011, USD, EUR,1062005
1012, EUR, AUD,1063055.5
1013, USD, EUR,1064106
1014, EUR, AUD,1065156.5
1015, USD, EUR,1066207
1016, EUR, AUD,1067257.5
1017, USD, EUR,1068308
1018, EUR, AUD,1069358.5
1019, USD, EUR,1070409
1020, EUR, AUD,1071459.5
1021, USD, EUR,1072510
1022, EUR, AUD,1073560.5
1023, USD, EUR,1074611
1024, EUR, AUD,1075661.5
1025, USD, EUR,1076712
